Site Address,Subsite Count
https://piritahi.cohesion.net.nz/Sites/WWA/PT/MGMT,3
https://piritahi.cohesion.net.nz/AIS,2
https://piritahi.cohesion.net.nz/BIO/MBovis/OL,2
https://piritahi.cohesion.net.nz/BIO/MBovis/PR,2
https://piritahi.cohesion.net.nz/Sites/AAM/ASYS/DOM,2
https://piritahi.cohesion.net.nz/Sites/AAM/MONP/RES,2
https://piritahi.cohesion.net.nz/Sites/BC/DT,2
https://piritahi.cohesion.net.nz/Sites/CE,2
https://piritahi.cohesion.net.nz/Sites/COM/ORG/BM,2
https://piritahi.cohesion.net.nz/Sites/COM/ORG/DC,2
https://piritahi.cohesion.net.nz/Sites/COM/ORG/IC,2
https://piritahi.cohesion.net.nz/Sites/COM/PRF/FP,2
https://piritahi.cohesion.net.nz/Sites/COM/PRF/SC,2
https://piritahi.cohesion.net.nz/Sites/DISM/ICTL,2
https://piritahi.cohesion.net.nz/Sites/DISM/ICTPM,2
https://piritahi.cohesion.net.nz/sites/ediscovery/IM201,2
https://piritahi.cohesion.net.nz/sites/ediscovery/loctite,2
https://piritahi.cohesion.net.nz/sites/ediscovery/test,2
https://piritahi.cohesion.net.nz/sites/EXT/STR,2
https://piritahi.cohesion.net.nz/Sites/FISHM/INS,2
https://piritahi.cohesion.net.nz/Sites/IMA/CCGI,2
https://piritahi.cohesion.net.nz/Sites/IMA/CO/RZ/UNFCCC/FL,2
https://piritahi.cohesion.net.nz/Sites/IMA/GRA,2
https://piritahi.cohesion.net.nz/Sites/IMA/MFATC,2
https://piritahi.cohesion.net.nz/Sites/IPC/OP,2
https://piritahi.cohesion.net.nz/Sites/IPC/PP,2
https://piritahi.cohesion.net.nz/Sites/LFS/OF,2
https://piritahi.cohesion.net.nz/Sites/LTFA,2
https://piritahi.cohesion.net.nz/Sites/PM/SW,2
https://piritahi.cohesion.net.nz/Sites/POL/AW,2
https://piritahi.cohesion.net.nz/Sites/PRO/BCSRP,1
https://piritahi.cohesion.net.nz/Sites/PRO/BCSRP3,0
https://piritahi.cohesion.net.nz/Sites/PRO/BCTW,0
https://piritahi.cohesion.net.nz/Sites/PRO/BDPP,0
https://piritahi.cohesion.net.nz/Sites/PRO/BDTP,0
https://piritahi.cohesion.net.nz/Sites/PRO/BetterRules,0
https://piritahi.cohesion.net.nz/Sites/PRO/BHRP,0
https://piritahi.cohesion.net.nz/Sites/PRO/BISP,0
https://piritahi.cohesion.net.nz/Sites/PRO/BIT,0
https://piritahi.cohesion.net.nz/Sites/PRO/BMTCP,0
https://piritahi.cohesion.net.nz/Sites/RPM,2
https://piritahi.cohesion.net.nz/Sites/SAI/AP/IMP,2
